MSZoning,LotArea,SalePrice,YearBuilt,Street
RL,8450,208500,2003,Pave
RL,9600,181500,1976,Pave
RL,11250,223500,2001,Pave
RL,9550,140000,1915,Pave
RL,14260,250000,2000,Pave
RL,14115,143000,1993,Pave
RL,10084,307000,2004,Pave
RL,10382,200000,1973,Pave
RM,6120,129900,1931,Pave
RL,7420,118000,1939,Pave
RL,11200,129500,1965,Pave
RL,11924,345000,2005,Pave
RL,12968,144000,1962,Pave
RL,10652,279500,2006,Pave
RL,10920,157000,1960,Pave
RM,6120,132000,1929,Pave
RL,11241,149000,1970,Pave
RL,10791,90000,1967,Pave
RL,13695,159000,2004,Pave
RL,7560,139000,1958,Pave
RL,14215,325300,2005,Pave
RM,7449,139400,1930,Pave
RL,9742,230000,2002,Pave
RM,4224,129900,1976,Pave
RL,8246,154000,1968,Pave
RL,14230,256300,2007,Pave
RL,7200,134800,1951,Pave
RL,11478,306000,2007,Pave
RL,16321,207500,1957,Pave
RM,6324,68500,1927,Pave
C (all),8500,40000,1920,Pave
RL,8544,149350,1966,Pave
RL,11049,179900,2007,Pave
RL,10552,165500,1959,Pave
RL,7313,277500,2005,Pave
RL,13418,309000,2004,Pave
RL,10859,145000,1994,Pave
RL,8532,153000,1954,Pave
RL,7922,109000,1953,Pave
RL,6040,82000,1955,Pave
RL,8658,160000,1965,Pave
RL,16905,170000,1959,Pave
RL,9180,144000,1983,Pave
RL,9200,130250,1975,Pave
RL,7945,141000,1959,Pave
RL,7658,319900,2005,Pave
RL,12822,239686,2003,Pave
FV,11096,249700,2006,Pave
RM,4456,113000,1920,Pave
RL,7742,127000,1966,Pave
RL,13869,177000,1997,Pave
RM,6240,114500,1934,Pave
RM,8472,110000,1963,Grvl
RL,50271,385000,1981,Pave
RL,7134,130000,1955,Pave
RL,10175,180500,1964,Pave
FV,2645,172500,1999,Pave
RL,11645,196500,2004,Pave
RL,13682,438780,2006,Pave
RL,7200,124900,1972,Pave
RL,13072,158000,2004,Pave
RM,7200,101000,1920,Pave
RL,6442,202500,2006,Pave
RM,10300,140000,1921,Pave
RL,9375,219500,1997,Pave
RL,9591,317000,2004,Pave
RL,19900,180000,1970,Pave
RL,10665,226000,2003,Pave
RM,4608,80000,1945,Pave
RL,15593,225000,1953,Pave
RL,13651,244000,1973,Pave
RL,7599,129500,1982,Pave
RL,10141,185000,1998,Pave
RL,10200,144900,1954,Pave
RM,5790,107400,1915,Pave
RM,1596,91000,1973,Pave
RL,8475,135750,1956,Pave
RM,8635,127000,1948,Pave
RL,10778,136500,1968,Pave
RM,10440,110000,1910,Pave
RL,13000,193500,1968,Pave
RM,4500,153500,1998,Pave
RL,10206,245000,2007,Pave
RL,8892,126500,1960,Pave
RL,8530,168500,1995,Pave
RL,16059,260000,1991,Pave
RL,11911,174000,2005,Pave
FV,3951,164500,2009,Pave
C,8470,85000,1915,Pave
RL,8070,123600,1994,Pave
RL,7200,109900,1950,Pave
RL,8500,98600,1961,Pave
RL,13360,163500,1921,Pave
C,7200,133900,1910,Pave
RL,9337,204750,1997,Pave
RL,9765,185000,1993,Pave
RL,10264,214000,1999,Pave
RL,10921,94750,1965,Pave
RL,10625,83000,1920,Pave
RL,9320,128950,1959,Pave
RL,10603,205000,1977,Pave
RL,9206,178000,1985,Pave
RL,7018,118964,1979,Pave
RL,10402,198900,2009,Pave
RM,7758,169500,1931,Pave
FV,9375,250000,2003,Pave
RM,10800,100000,1885,Pave
RM,6000,115000,1948,Pave
RM,8500,115000,1919,Pave
RL,11751,190000,1977,Pave
RL,9525,136900,1954,Pave
RL,7750,180000,2000,Pave
RL,9965,383970,2007,Pave
RL,21000,217000,1953,Pave
RL,7259,259500,1945,Pave
FV,3230,176000,1999,Pave
RL,11616,139000,1962,Pave
RL,8536,155000,2006,Pave
RL,12376,320000,1990,Pave
RL,8461,163990,2005,Pave
RL,21453,180000,1969,Pave
RM,6060,100000,1939,Pave
RL,9464,136000,1958,Pave
RL,7892,153900,1993,Pave
RL,17043,181000,1979,Pave
RM,6780,84500,1935,Pave
RL,4928,128000,1976,Pave
RM,4388,87000,1930,Pave
RL,7590,155000,1966,Pave
RL,8973,150000,1958,Pave
RL,14200,226000,1966,Pave
RL,12224,244000,2000,Pave
RL,7388,150750,1959,Pave
RL,6853,220000,2001,Pave
RL,10335,180000,1968,Pave
RL,10400,174000,1970,Pave
RL,10355,143000,1967,Pave
RL,11070,171000,1988,Pave
RL,9066,230000,1999,Pave
RL,15426,231500,1997,Pave
RL,10500,115000,1971,Pave
RL,11645,260000,2005,Pave
RL,8520,166000,1952,Pave
RL,10335,204000,1999,Pave
RM,9100,125000,1963,Pave
RM,2522,130000,2004,Pave
RM,6120,105000,1931,Pave
RL,9505,222500,2001,Pave
RL,7500,141000,2004,Pave
RM,6240,115000,1936,Pave
RL,10356,122000,1975,Pave
RL,13891,372402,2007,Pave
RL,14803,190000,1971,Pave
RL,13500,235000,1960,Pave
RM,11340,125000,1923,Pave
RL,9600,79000,1924,Pave
RL,7200,109500,1950,Pave
RL,12003,269500,2009,Pave
FV,12552,254900,2004,Pave
RL,19378,320000,2005,Pave
RL,11120,162500,1984,Pave
RL,13688,412500,2003,Pave
RL,12182,220000,2005,Pave
RL,5500,103200,1956,Pave
RM,5400,152000,1926,Pave
RL,10106,127500,1940,Pave
RL,10708,190000,1955,Pave
RL,10562,325624,2007,Pave
RL,8244,183500,2004,Pave
RL,16669,228000,1981,Pave
RM,12358,128500,1941,Pave
RL,31770,215000,1960,Pave
RL,5306,239000,1987,Pave
RL,10197,163000,1961,Pave
RL,12416,184000,1986,Pave
RL,12615,243000,1950,Pave
RL,10029,211000,1988,Pave
RL,13650,172500,1958,Pave
RL,17423,501837,2008,Pave
RM,8520,100000,1923,Pave
FV,2117,177000,2000,Pave
RL,7588,200100,1920,Pave
RL,9060,120000,1957,Pave
RM,11426,200000,2003,Pave
RL,7438,127000,1908,Pave
RM,22950,475000,1892,Pave
RL,9947,173000,1990,Pave
RL,10410,135000,1916,Pave
RL,7018,153337,1979,Pave
RL,4923,286000,2001,Pave
RL,10570,315000,1932,Pave
RL,7472,184000,1972,Pave
RL,9017,192000,1999,Pave
RM,2522,130000,2004,Pave
RL,7180,127000,1972,Pave
RL,2280,148500,1976,Pave
RL,9416,311872,2007,Pave
RL,25419,235000,1918,Pave
RM,5520,104000,1912,Pave
RL,9591,274900,2004,Pave
RM,8546,140000,2003,Pave
RL,10125,171500,1977,Pave
RL,7000,112000,1924,Pave
RM,4438,149000,2004,Pave
RM,3500,110000,1947,Pave
RL,11851,180500,1990,Pave
RL,13673,143900,1962,Pave
RL,12493,141000,1960,Pave
RL,14364,277000,1988,Pave
RL,8250,145000,1964,Pave
RL,5604,98000,1925,Pave
RL,10420,186000,2009,Pave
FV,8640,252678,2009,Pave
RL,13568,156000,1995,Pave
RL,10900,161750,1977,Pave
RL,10011,134450,1957,Pave
RL,8450,210000,2004,Pave
RM,9906,107000,1925,Pave
RL,15660,311500,1939,Pave
RL,3010,167240,2005,Pave
RL,8990,204900,2006,Pave
RL,8068,200000,2002,Pave
RL,11475,179900,1975,Pave
RL,10500,97000,1971,Pave
RL,13472,386250,2003,Pave
RM,1680,112000,1971,Pave
RL,9950,290000,1995,Pave
RM,1869,106000,1970,Pave
RL,8521,125000,1967,Pave
