MSZoning,LotArea,Street,YearBuilt,SalePrice
RL,8450,Pave,2003,208500
RL,9600,Pave,1976,181500
RL,11250,Pave,2001,223500
RL,9550,Pave,1915,140000
RL,14260,Pave,2000,250000
RL,14115,Pave,1993,143000
RL,10084,Pave,2004,307000
RL,10382,Pave,1973,200000
RM,6120,Pave,1931,129900
RL,7420,Pave,1939,118000
RL,11200,Pave,1965,129500
RL,11924,Pave,2005,345000
RL,12968,Pave,1962,144000
RL,10652,Pave,2006,279500
RL,10920,Pave,1960,157000
RM,6120,Pave,1929,132000
RL,11241,Pave,1970,149000
RL,10791,Pave,1967,90000
RL,13695,Pave,2004,159000
RL,7560,Pave,1958,139000
RL,14215,Pave,2005,325300
RM,7449,Pave,1930,139400
RL,9742,Pave,2002,230000
RM,4224,Pave,1976,129900
RL,8246,Pave,1968,154000
RL,14230,Pave,2007,256300
RL,7200,Pave,1951,134800
RL,11478,Pave,2007,306000
RL,16321,Pave,1957,207500
RM,6324,Pave,1927,68500
C (all),8500,Pave,1920,40000
RL,8544,Pave,1966,149350
RL,11049,Pave,2007,179900
RL,10552,Pave,1959,165500
RL,7313,Pave,2005,277500
RL,13418,Pave,2004,309000
RL,10859,Pave,1994,145000
RL,8532,Pave,1954,153000
RL,7922,Pave,1953,109000
RL,6040,Pave,1955,82000
RL,8658,Pave,1965,160000
RL,16905,Pave,1959,170000
RL,9180,Pave,1983,144000
RL,9200,Pave,1975,130250
RL,7945,Pave,1959,141000
RL,7658,Pave,2005,319900
RL,12822,Pave,2003,239686
FV,11096,Pave,2006,249700
RM,4456,Pave,1920,113000
RL,7742,Pave,1966,127000
RL,13869,Pave,1997,177000
RM,6240,Pave,1934,114500
RM,8472,Grvl,1963,110000
RL,50271,Pave,1981,385000
RL,7134,Pave,1955,130000
RL,10175,Pave,1964,180500
FV,2645,Pave,1999,172500
RL,11645,Pave,2004,196500
RL,13682,Pave,2006,438780
RL,7200,Pave,1972,124900
RL,13072,Pave,2004,158000
RM,7200,Pave,1920,101000
RL,6442,Pave,2006,202500
RM,10300,Pave,1921,140000
RL,9375,Pave,1997,219500
RL,9591,Pave,2004,317000
RL,19900,Pave,1970,180000
RL,10665,Pave,2003,226000
RM,4608,Pave,1945,80000
RL,15593,Pave,1953,225000
RL,13651,Pave,1973,244000
RL,7599,Pave,1982,129500
RL,10141,Pave,1998,185000
RL,10200,Pave,1954,144900
RM,5790,Pave,1915,107400
RM,1596,Pave,1973,91000
RL,8475,Pave,1956,135750
RM,8635,Pave,1948,127000
RL,10778,Pave,1968,136500
RM,10440,Pave,1910,110000
RL,13000,Pave,1968,193500
RM,4500,Pave,1998,153500
RL,10206,Pave,2007,245000
RL,8892,Pave,1960,126500
RL,8530,Pave,1995,168500
RL,16059,Pave,1991,260000
RL,11911,Pave,2005,174000
FV,3951,Pave,2009,164500
C (all),8470,Pave,1915,85000
RL,8070,Pave,1994,123600
RL,7200,Pave,1950,109900
RL,8500,Pave,1961,98600
RL,13360,Pave,1921,163500
C (all),7200,Pave,1910,133900
RL,9337,Pave,1997,204750
RL,9765,Pave,1993,185000
RL,10264,Pave,1999,214000
RL,10921,Pave,1965,94750
RL,10625,Pave,1920,83000
RL,9320,Pave,1959,128950
RL,10603,Pave,1977,205000
RL,9206,Pave,1985,178000
RL,7018,Pave,1979,118964
RL,10402,Pave,2009,198900
RM,7758,Pave,1931,169500
FV,9375,Pave,2003,250000
RM,10800,Pave,1885,100000
RM,6000,Pave,1948,115000
RM,8500,Pave,1919,115000
RL,11751,Pave,1977,190000
RL,9525,Pave,1954,136900
RL,7750,Pave,2000,180000
RL,9965,Pave,2007,383970
RL,21000,Pave,1953,217000
RL,7259,Pave,1945,259500
FV,3230,Pave,1999,176000
RL,11616,Pave,1962,139000
