Date,Energy
6/27/2015 0:30,46488
6/27/2015 1:00,43318
6/27/2015 1:30,42344
6/27/2015 2:00,41430
6/27/2015 2:30,40505
6/27/2015 3:00,38736
6/27/2015 3:30,37589
6/27/2015 4:00,36559
6/27/2015 4:30,36067
6/27/2015 5:00,35878
6/27/2015 5:30,35858
6/27/2015 6:00,35480
6/27/2015 6:30,35918
6/27/2015 7:00,36578
6/27/2015 7:30,37675
6/27/2015 8:00,39020
6/27/2015 8:30,40617
6/27/2015 9:00,42435
6/27/2015 9:30,44050
6/27/2015 10:00,44990
6/27/2015 10:30,45568
6/27/2015 11:00,45866
6/27/2015 11:30,46457
6/27/2015 12:00,47193
6/27/2015 12:30,48077
6/27/2015 13:00,48712
6/27/2015 13:30,46946
6/27/2015 14:00,46147
6/27/2015 14:30,45984
6/27/2015 15:00,45162
6/27/2015 15:30,44262
6/27/2015 16:00,43734
6/27/2015 16:30,43197
6/27/2015 17:00,42811
6/27/2015 17:30,42741
6/27/2015 18:00,43195
6/27/2015 18:30,43630
6/27/2015 19:00,44113
6/27/2015 19:30,43720
6/27/2015 20:00,43082
6/27/2015 20:30,41989
6/27/2015 21:00,41228
6/27/2015 21:30,41072
6/27/2015 22:00,41315
6/27/2015 22:30,43442
6/27/2015 23:00,46851
6/27/2015 23:30,46534
6/28/2015 0:30,43630
6/28/2015 1:00,40680
6/28/2015 1:30,40125
6/28/2015 2:00,39165
6/28/2015 2:30,38459
6/28/2015 3:00,36456
6/28/2015 3:30,35397
6/28/2015 4:00,34441
6/28/2015 4:30,33887
6/28/2015 5:00,33487
6/28/2015 5:30,33064
6/28/2015 6:00,32309
6/28/2015 6:30,32024
6/28/2015 7:00,32478
6/28/2015 7:30,33205
6/28/2015 8:00,34193
6/28/2015 8:30,35520
6/28/2015 9:00,36952
6/28/2015 9:30,38529
6/28/2015 10:00,39712
6/28/2015 10:30,40817
6/28/2015 11:00,41664
6/28/2015 11:30,42320
6/28/2015 12:00,43156
6/28/2015 12:30,44125
6/28/2015 13:00,44798
6/28/2015 13:30,43317
6/28/2015 14:00,42262
6/28/2015 14:30,41866
6/28/2015 15:00,41064
6/28/2015 15:30,40250
6/28/2015 16:00,40018
6/28/2015 16:30,39433
6/28/2015 17:00,39500
6/28/2015 17:30,39555
6/28/2015 18:00,39994
6/28/2015 18:30,40749
6/28/2015 19:00,41732
6/28/2015 19:30,42398
6/28/2015 20:00,42540
6/28/2015 20:30,42271
6/28/2015 21:00,42179
6/28/2015 21:30,42197
6/28/2015 22:00,42802
6/28/2015 22:30,44436
6/28/2015 23:00,47620
6/28/2015 23:30,46784
6/29/2015 0:30,43517
6/29/2015 1:00,40540
6/29/2015 1:30,39852
6/29/2015 2:00,39088
6/29/2015 2:30,38454
6/29/2015 3:00,36740
6/29/2015 3:30,35904
6/29/2015 4:00,35375
6/29/2015 4:30,35359
6/29/2015 5:00,35821
6/29/2015 5:30,37183
6/29/2015 6:00,37964
6/29/2015 6:30,40039
6/29/2015 7:00,42677
6/29/2015 7:30,45236
6/29/2015 8:00,47338
6/29/2015 8:30,49134
6/29/2015 9:00,50310
6/29/2015 9:30,51642
6/29/2015 10:00,52480
6/29/2015 10:30,53135
6/29/2015 11:00,53882
6/29/2015 11:30,54478
6/29/2015 12:00,55206
6/29/2015 12:30,55492
6/29/2015 13:00,55981
6/29/2015 13:30,55310
6/29/2015 14:00,55325
6/29/2015 14:30,55838
6/29/2015 15:00,54960
6/29/2015 15:30,54181
6/29/2015 16:00,53679
6/29/2015 16:30,53066
6/29/2015 17:00,52565
6/29/2015 17:30,52126
6/29/2015 18:00,52097
6/29/2015 18:30,52241
6/29/2015 19:00,52866
6/29/2015 19:30,52335
6/29/2015 20:00,51228
6/29/2015 20:30,49653
6/29/2015 21:00,48348
6/29/2015 21:30,47794
6/29/2015 22:00,47673
6/29/2015 22:30,49115
6/29/2015 23:00,52274
6/29/2015 23:30,51276
6/30/2015 0:30,47084
6/30/2015 1:00,44035
6/30/2015 1:30,43250
6/30/2015 2:00,42663
6/30/2015 2:30,41881
6/30/2015 3:00,40429
6/30/2015 3:30,39459
6/30/2015 4:00,38758
6/30/2015 4:30,38709
6/30/2015 5:00,38891
6/30/2015 5:30,39886
6/30/2015 6:00,40456
6/30/2015 6:30,42406
6/30/2015 7:00,44867
6/30/2015 7:30,47538
6/30/2015 8:00,49734
6/30/2015 8:30,51387
6/30/2015 9:00,52557
6/30/2015 9:30,53836
6/30/2015 10:00,54791
6/30/2015 10:30,55578
6/30/2015 11:00,56266
6/30/2015 11:30,56792
6/30/2015 12:00,57346
6/30/2015 12:30,57410
6/30/2015 13:00,57755
6/30/2015 13:30,56938
6/30/2015 14:00,57018
6/30/2015 14:30,57428
6/30/2015 15:00,56589
6/30/2015 15:30,56031
6/30/2015 16:00,55332
6/30/2015 16:30,54914
6/30/2015 17:00,54436
6/30/2015 17:30,54006
6/30/2015 18:00,53826
6/30/2015 18:30,53937
6/30/2015 19:00,54359
6/30/2015 19:30,53410
6/30/2015 20:00,52550
6/30/2015 20:30,50751
6/30/2015 21:00,49433
6/30/2015 21:30,48838
6/30/2015 22:00,48539
6/30/2015 22:30,49988
6/30/2015 23:00,52380
6/30/2015 23:30,51111
7/13/2015 0:30,42696
7/13/2015 1:00,40078
7/13/2015 1:30,39465
7/13/2015 2:00,38851
7/13/2015 2:30,38274
7/13/2015 3:00,36779
7/13/2015 3:30,35907
7/13/2015 4:00,35443
7/13/2015 4:30,35262
7/13/2015 5:00,35652
7/13/2015 5:30,36599
7/13/2015 6:00,36782
7/13/2015 6:30,37695
7/13/2015 7:00,38987
7/13/2015 7:30,40578
7/13/2015 8:00,42324
7/13/2015 8:30,43906
7/13/2015 9:00,45528
7/13/2015 9:30,46920
7/13/2015 10:00,47833
7/13/2015 10:30,48627
7/13/2015 11:00,49251
7/13/2015 11:30,49769
7/13/2015 12:00,50620
7/13/2015 12:30,51174
7/13/2015 13:00,51714
7/13/2015 13:30,50553
7/13/2015 14:00,50405
7/13/2015 14:30,50464
7/13/2015 15:00,49733
7/13/2015 15:30,49080
7/13/2015 16:00,48589
7/13/2015 16:30,48116
7/13/2015 17:00,47717
7/13/2015 17:30,47555
7/13/2015 18:00,47664
7/13/2015 18:30,47794
7/13/2015 19:00,48324
7/13/2015 19:30,47735
7/13/2015 20:00,47086
7/13/2015 20:30,45556
7/13/2015 21:00,44421
7/13/2015 21:30,43960
7/13/2015 22:00,44196
7/13/2015 22:30,45776
7/13/2015 23:00,48486
7/13/2015 23:30,47562
7/14/2015 0:30,44809
7/14/2015 1:00,42060
7/14/2015 1:30,41356
7/14/2015 2:00,40675
7/14/2015 2:30,39933
7/14/2015 3:00,38220
7/14/2015 3:30,37308
7/14/2015 4:00,36405
7/14/2015 4:30,35920
7/14/2015 5:00,35603
7/14/2015 5:30,35601
7/14/2015 6:00,35074
7/14/2015 6:30,34725
7/14/2015 7:00,35070
7/14/2015 7:30,35737
7/14/2015 8:00,36662
7/14/2015 8:30,37941
7/14/2015 9:00,39314
7/14/2015 9:30,40864
7/14/2015 10:00,42147
7/14/2015 10:30,43109
7/14/2015 11:00,43921
7/14/2015 11:30,44736
7/14/2015 12:00,45681
7/14/2015 12:30,46780
7/14/2015 13:00,47436
7/14/2015 13:30,46067
7/14/2015 14:00,45095
7/14/2015 14:30,44829
7/14/2015 15:00,43958
7/14/2015 15:30,43367
7/14/2015 16:00,42974
7/14/2015 16:30,42629
7/14/2015 17:00,42312
